RISULTATI DELLE PARTITE DEL TUTTE;;;;;;;
ID Partita;Data e Ora;Fase;Squadra Casa;Punteggio Casa;Punteggio Ospite;Squadra Ospite;Stato
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;1';GOAL;UCG;Lorenzo Ceresoli;
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;12';GOAL;Gli Umili;Lorenzo Papiri;
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;12';ASSIST;Gli Umili;Elio Casanova;
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;14';GOAL;UCG;Reverberi Tommaso;
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;20';GOAL;Gli Umili;Paolo Gaglianò;
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;26';GOAL;UCG;Lorenzo Ceresoli;
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;26';CARTA;Gli Umili;Tommaso Verardo;penalty::success
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;29';GOAL;UCG;Reverberi Tommaso;
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;29';CARTA;UCG;Mattia Ninivaggi;penalty::success
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;2';GOAL;Chainz;Louis Dolcini;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;3';GOAL;San Teodoro Ketzmaja;Davide Rossi;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;3';GOAL;Chainz;Louis Dolcini;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;5';GOAL;San Teodoro Ketzmaja;Matteo Fascetti;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;7';GOAL;Chainz;Francesco Tassone;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;11';GOAL;San Teodoro Ketzmaja;Davide Rossi;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;15';GOAL;San Teodoro Ketzmaja;Andrea Gobbi;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;21';CARTA;San Teodoro Ketzmaja;;goalx2
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;23';GOAL;Chainz;Louis Dolcini;
